Speed (km/h),Acceleration (m/sｲ),Braking intensity (%),Cornering speed (km/h),Driver Behavior rating
75.01,4.03,58.64,26.89,4.00
70.53,5.28,46.88,18.47,6.00
94.50,4.11,76.65,37.02,7.00
76.03,6.33,81.26,20.32,6.00
86.10,1.99,78.90,20.37,4.00
68.81,4.06,101.58,26.20,2.00
75.06,6.22,69.21,19.71,4.00
75.63,3.69,63.31,21.89,3.00
116.65,3.45,45.91,35.11,7.00
120.27,7.40,44.65,37.91,10.00
90.29,5.92,37.60,28.86,9.00
80.59,6.95,58.99,34.34,6.00
86.69,1.72,79.81,22.84,2.00
105.94,7.48,68.62,23.20,7.00
58.37,3.64,72.49,26.68,4.00
91.73,4.49,78.94,30.82,9.00
77.24,8.36,88.66,33.15,8.00
75.98,2.00,95.23,12.95,1.00
77.49,5.74,87.39,23.43,10.00
76.54,9.05,40.85,32.68,9.00
123.64,8.32,50.32,33.95,8.00
111.16,1.16,79.67,19.48,3.00
94.74,4.37,44.97,35.80,9.00
60.14,4.81,95.05,19.29,1.00
85.94,7.09,64.35,28.31,4.00
91.98,5.77,51.10,34.14,10.00
95.39,5.13,63.22,25.53,4.00
80.33,7.36,60.73,22.29,7.00
89.39,5.81,77.30,29.77,5.00
57.85,9.58,56.98,34.03,8.00
120.02,9.47,71.32,30.01,10.00
105.85,5.09,79.61,28.26,4.00
77.28,4.83,76.33,20.33,4.00
109.46,7.70,65.66,30.01,10.00
54.50,2.08,81.04,18.07,2.00
66.17,3.60,70.04,26.41,1.00
120.99,5.51,40.04,28.46,9.00
77.94,6.37,67.04,32.78,7.00
106.47,4.86,67.74,32.88,7.00
104.46,7.52,50.72,33.34,8.00
104.83,5.74,55.89,19.58,7.00
41.55,1.74,75.21,13.71,1.00
65.67,4.57,87.33,37.20,8.00
54.39,3.08,93.14,19.58,3.00
70.80,4.20,63.87,25.43,4.00
63.62,4.70,68.07,28.26,7.00
83.59,8.75,56.64,33.50,7.00
113.03,9.62,73.69,25.39,10.00
94.70,1.24,51.84,25.32,1.00
83.74,6.89,59.21,26.37,8.00
80.54,2.92,90.93,23.68,1.00
111.21,5.48,55.31,28.98,9.00
109.44,6.34,79.07,31.31,8.00
95.79,8.95,57.36,31.25,10.00
82.85,4.02,57.86,31.01,7.00
60.89,4.68,98.52,24.86,5.00
91.69,6.16,47.85,28.44,4.00
62.41,5.80,77.04,28.34,4.00
50.46,2.50,78.50,28.57,1.00
72.08,6.54,86.75,24.96,7.00
102.90,4.35,73.30,22.88,6.00
50.32,0.40,75.93,22.63,2.00
65.60,8.41,70.34,24.80,6.00
89.18,4.02,49.63,29.21,2.00
57.92,3.92,83.91,29.43,6.00
82.52,4.69,68.61,30.11,5.00
98.14,5.26,58.42,36.65,7.00
87.54,6.88,66.03,21.18,7.00
75.78,4.75,83.08,31.63,7.00
83.66,3.31,54.64,27.74,5.00
100.66,8.90,56.00,40.40,9.00
111.59,9.58,47.06,32.87,10.00
89.47,2.27,58.98,25.61,1.00
54.31,4.52,81.33,22.72,3.00
69.97,8.97,89.90,25.83,9.00
119.82,7.31,73.23,24.54,5.00
96.61,7.23,77.97,30.37,9.00
79.94,5.35,68.67,34.96,3.00
102.53,5.71,100.53,25.03,4.00
69.52,2.33,69.30,19.37,1.00
122.37,4.99,77.33,25.58,8.00
64.60,5.05,90.93,21.04,5.00
54.85,2.02,60.23,30.52,2.00
78.48,6.94,76.60,19.35,5.00
101.86,7.20,61.06,27.19,9.00
65.97,7.88,80.91,29.56,8.00
87.48,6.37,90.58,37.49,8.00
107.44,4.25,94.61,31.66,2.00
56.61,2.79,83.98,22.19,4.00
81.52,4.31,54.05,23.73,6.00
51.91,1.04,67.24,20.83,3.00
112.66,8.11,59.08,23.62,10.00
102.68,3.50,105.90,23.68,1.00
118.24,5.07,59.84,26.77,8.00
80.29,5.98,78.77,33.27,9.00
61.46,3.80,64.18,14.41,2.00
123.08,9.38,69.48,26.85,9.00
91.48,6.58,49.34,26.56,8.00
85.33,3.05,83.38,17.85,1.00
87.32,5.56,101.52,21.06,2.00
114.41,7.82,69.46,39.26,10.00
85.18,4.86,68.11,25.88,5.00
114.06,2.87,89.27,18.00,4.00
101.72,5.48,78.97,29.87,10.00
74.09,4.04,74.85,30.77,7.00
103.56,4.37,72.61,31.40,8.00
105.15,4.79,45.30,28.67,7.00
93.80,3.88,72.51,24.37,2.00
74.56,7.19,54.36,35.70,10.00
124.66,4.34,67.34,33.30,10.00
45.84,2.82,75.13,35.95,4.00
102.25,6.51,95.81,27.32,5.00
74.67,4.13,59.01,19.19,1.00
108.62,9.64,50.45,26.16,9.00
80.50,3.15,55.31,27.04,5.00
104.81,4.30,78.83,17.71,4.00
62.47,9.08,65.68,32.90,9.00
92.34,4.89,47.09,30.80,9.00
57.11,5.77,73.35,22.71,4.00
120.59,8.46,47.92,37.42,10.00
116.03,5.72,83.52,33.26,3.00
57.38,1.14,101.70,25.21,2.00
82.13,3.07,58.20,19.00,4.00
119.28,5.09,91.58,28.13,5.00
53.02,4.16,80.09,21.53,5.00
63.37,3.00,58.33,25.71,2.00
71.26,5.82,87.00,14.77,3.00
40.80,2.67,92.55,27.83,2.00
103.21,3.44,54.72,20.36,7.00
43.65,2.67,97.62,29.45,2.00
53.96,1.52,84.62,27.61,1.00
88.04,5.82,76.82,28.00,2.00
93.38,6.98,70.57,32.26,9.00
54.85,6.78,91.93,30.05,6.00
82.33,7.19,50.03,28.75,7.00
120.30,5.84,58.24,34.21,7.00
69.35,3.25,56.11,18.63,1.00
104.31,6.80,61.52,34.63,7.00
108.30,6.26,59.88,28.77,8.00
73.60,4.22,81.22,18.63,1.00
86.57,8.45,47.65,32.80,8.00
94.48,3.60,74.83,27.29,4.00
88.24,6.27,54.18,31.75,7.00
97.91,5.00,67.36,31.90,4.00
72.15,4.22,79.29,34.01,4.00
80.82,4.08,88.74,24.17,5.00
86.99,2.76,57.36,23.80,5.00
106.70,0.66,74.38,29.60,2.00
63.09,2.67,73.11,32.54,2.00
93.50,8.22,64.73,28.48,7.00
105.97,8.25,58.28,31.26,10.00
105.47,7.70,50.41,29.48,9.00
113.15,9.08,44.01,24.86,9.00
124.34,9.21,55.83,37.66,10.00
103.08,6.01,66.40,24.84,4.00
67.70,6.01,84.46,34.77,10.00
64.35,5.08,61.58,15.06,5.00
68.31,4.75,82.00,30.39,3.00
77.91,2.45,53.00,28.25,4.00
112.10,2.36,85.59,26.27,5.00
84.62,5.20,59.15,23.76,4.00
78.03,5.77,64.55,30.69,4.00
110.90,6.93,67.04,24.67,10.00
89.31,4.89,58.22,32.83,5.00
107.28,0.83,76.84,13.66,2.00
87.00,7.15,82.04,35.08,5.00
64.77,5.46,62.67,35.60,6.00
85.53,2.82,85.66,33.63,3.00
89.74,7.75,63.09,23.23,6.00
65.96,4.77,77.92,27.65,6.00
78.83,5.06,45.17,28.79,9.00
68.36,3.56,92.51,24.57,5.00
36.59,0.86,83.74,24.53,1.00
90.07,7.24,40.44,33.74,10.00
90.33,8.13,64.62,36.41,8.00
120.69,4.69,78.22,20.38,5.00
72.11,4.91,73.02,30.25,6.00
87.10,6.39,56.97,22.96,7.00
110.25,7.31,57.33,32.52,10.00
78.12,4.39,48.10,23.33,7.00
48.46,3.76,65.94,25.20,2.00
88.55,6.59,72.45,26.68,6.00
75.78,3.91,86.85,24.31,6.00
82.00,6.75,51.84,27.87,7.00
86.37,5.46,97.28,23.35,3.00
105.07,4.85,84.31,23.94,7.00
109.60,6.66,53.64,28.12,8.00
43.30,1.45,72.56,22.07,2.00
100.60,3.82,59.91,20.36,3.00
102.35,5.08,66.88,24.33,6.00
97.14,5.24,53.79,28.75,8.00
84.75,6.43,81.02,22.36,8.00
74.72,7.25,85.28,15.95,4.00
106.37,2.53,83.65,23.78,3.00
63.67,4.58,73.48,34.29,5.00
106.87,6.31,77.16,23.95,6.00
92.76,6.63,66.72,27.69,5.00
63.18,3.16,56.48,28.86,4.00
115.57,5.98,74.17,25.38,9.00
81.67,5.13,85.66,30.01,3.00
63.96,1.02,63.53,30.41,3.00
125.72,5.85,71.83,17.75,7.00
105.45,1.07,91.10,30.12,3.00
67.99,5.37,47.13,20.66,7.00
62.26,4.46,65.55,28.70,3.00
121.56,7.19,62.49,29.11,10.00
103.43,4.92,65.49,39.30,8.00
105.70,7.02,89.15,22.16,5.00
69.81,5.97,68.37,37.94,9.00
92.19,3.06,45.28,23.39,3.00
85.32,6.45,73.08,31.01,8.00
89.16,8.37,74.42,38.94,9.00
92.79,4.89,80.15,19.58,4.00
79.90,7.38,65.20,22.93,8.00
106.78,8.73,42.00,30.87,9.00
56.31,2.11,89.50,16.99,1.00
102.05,1.74,52.62,24.10,4.00
120.80,8.50,47.92,26.57,10.00
59.45,2.13,90.55,22.25,1.00
114.23,6.35,59.09,25.16,4.00
92.92,8.59,58.48,23.21,9.00
72.40,2.30,67.99,27.89,4.00
68.47,6.96,53.64,32.20,5.00
96.43,10.10,72.66,25.63,10.00
83.48,4.89,79.65,32.89,2.00
46.72,4.71,84.99,21.42,4.00
122.07,5.87,48.53,29.25,10.00
95.31,4.61,78.70,34.73,6.00
92.07,6.21,60.16,33.45,7.00
77.21,4.10,55.08,25.75,8.00
64.64,3.94,61.90,35.98,8.00
91.96,3.34,74.37,19.47,3.00
104.62,6.95,61.20,22.64,7.00
79.12,6.53,44.45,24.28,8.00
78.24,4.08,91.70,31.94,1.00
82.15,6.92,64.46,28.19,3.00
97.40,8.28,56.81,18.39,7.00
92.70,8.65,56.19,21.65,9.00
110.09,10.10,66.04,29.31,9.00
67.14,9.33,79.78,27.80,10.00
112.99,5.94,69.78,36.37,10.00
92.90,1.45,96.76,31.29,2.00
59.15,5.78,77.30,33.17,2.00
87.37,5.38,67.46,20.35,1.00
79.06,8.92,50.80,38.87,8.00
98.01,9.70,78.10,35.91,10.00
115.95,7.58,62.94,37.59,8.00
73.64,4.49,57.00,27.45,2.00
109.54,5.81,64.30,18.22,2.00
124.56,4.92,34.98,18.31,8.00
97.78,3.68,96.73,26.84,2.00
68.76,2.79,64.95,32.67,5.00
84.41,6.07,65.70,27.53,4.00
74.86,9.03,58.10,31.11,10.00
63.99,3.53,84.84,30.59,3.00
97.28,4.16,77.29,35.54,7.00
76.57,6.83,67.97,23.24,6.00
59.18,6.90,61.62,28.71,5.00
96.97,5.69,42.93,42.81,10.00
82.23,2.15,69.07,19.65,3.00
57.07,3.06,102.46,30.88,3.00
84.08,5.94,92.93,15.33,4.00
117.29,9.27,45.37,30.45,10.00
111.63,8.06,71.48,22.92,8.00
93.87,8.02,86.53,32.05,6.00
67.91,4.42,50.94,35.96,8.00
94.61,5.77,40.96,37.47,7.00
80.91,6.84,60.18,36.12,7.00
62.44,4.63,66.30,26.13,5.00
87.59,6.16,67.27,28.02,9.00
76.29,2.12,91.81,24.06,2.00
94.46,1.17,76.30,20.88,1.00
89.66,6.10,68.69,34.78,6.00
73.59,2.63,68.49,14.06,1.00
102.93,5.06,63.40,22.74,7.00
90.63,5.30,58.44,21.27,6.00
112.22,6.49,85.11,38.88,10.00
124.33,6.86,73.65,37.32,10.00
49.96,2.58,88.03,24.04,3.00
89.99,1.85,61.20,34.12,3.00
70.95,6.19,87.83,25.15,3.00
83.33,3.91,70.18,17.41,6.00
70.31,0.35,78.18,19.49,1.00
70.85,0.72,64.62,11.46,1.00
93.16,4.87,49.08,36.77,7.00
103.90,3.38,65.88,31.82,2.00
106.12,6.23,56.05,17.68,3.00
55.55,1.66,92.01,28.55,1.00
52.56,4.92,83.37,21.73,4.00
112.96,6.77,65.35,33.89,9.00
84.15,3.81,62.30,28.64,1.00
90.32,5.11,73.93,33.96,5.00
70.24,6.82,68.14,26.81,7.00
100.71,4.67,51.61,26.60,10.00
55.06,5.40,58.67,21.31,5.00
56.42,3.71,75.57,24.90,4.00
121.12,2.82,56.36,22.16,4.00
64.09,3.81,93.39,24.74,3.00
102.90,7.68,69.47,32.43,8.00
73.66,2.47,65.59,22.70,2.00
105.66,4.27,91.92,26.41,3.00
91.28,4.38,73.87,30.98,4.00
57.03,3.64,61.96,16.43,5.00
57.79,1.57,67.67,11.75,2.00
73.94,6.26,71.85,34.05,9.00
86.05,5.04,70.10,27.02,2.00
93.10,6.12,88.91,35.65,6.00
116.39,6.49,71.75,31.76,5.00
57.48,5.11,75.71,20.10,5.00
126.95,5.38,51.16,26.32,8.00
77.79,5.91,80.99,30.31,5.00
66.98,3.84,54.31,22.07,5.00
62.86,1.24,55.59,36.06,3.00
93.70,7.33,48.41,25.47,10.00
101.32,8.32,75.69,25.98,9.00
84.51,4.67,81.96,29.72,4.00
109.95,6.87,79.47,25.48,5.00
68.91,7.69,66.06,37.77,9.00
90.62,2.76,59.45,22.11,3.00
56.61,8.20,63.70,27.70,6.00
96.59,5.31,66.69,30.61,4.00
89.61,3.79,84.81,28.85,7.00
85.26,5.11,87.79,22.82,1.00
80.87,6.83,97.90,18.40,3.00
68.49,4.06,62.75,25.60,4.00
70.18,4.56,80.71,17.31,3.00
118.35,7.96,67.63,33.72,7.00
81.97,3.91,91.36,20.69,2.00
91.59,4.21,68.93,27.44,5.00
73.90,6.96,53.97,27.50,9.00
80.26,6.12,73.93,19.21,3.00
63.51,1.80,72.71,35.35,3.00
98.05,8.57,80.94,34.00,8.00
79.50,9.98,47.95,37.50,10.00
101.92,2.49,54.49,30.90,1.00
72.18,5.26,71.12,31.00,8.00
112.49,8.40,60.84,35.50,10.00
70.05,7.66,59.27,34.11,8.00
111.98,8.44,69.26,22.26,8.00
77.25,5.40,48.75,24.29,5.00
112.42,4.43,66.34,32.91,6.00
64.52,6.37,69.23,30.42,7.00
74.70,1.85,79.41,23.44,2.00
86.49,3.51,54.06,24.87,3.00
87.78,4.01,83.70,20.95,6.00
98.56,4.56,83.69,27.49,4.00
108.13,7.79,63.25,34.73,8.00
105.08,7.00,59.02,22.32,7.00
98.58,4.31,60.32,26.83,5.00
106.91,3.03,66.41,35.58,6.00
66.38,5.83,79.77,25.97,5.00
119.89,5.10,46.72,24.28,7.00
128.47,8.75,53.13,29.29,9.00
75.29,4.01,42.37,27.87,8.00
87.98,3.46,68.56,27.40,3.00
106.79,4.67,70.21,16.78,3.00
98.72,7.18,45.27,41.15,10.00
100.47,5.51,66.03,29.92,2.00
104.59,7.68,77.67,36.33,7.00
79.85,6.96,47.99,38.20,8.00
69.46,4.00,59.43,24.36,1.00
70.57,2.09,67.78,20.50,3.00
111.76,7.70,54.42,28.91,10.00
119.03,5.11,68.25,25.24,10.00
47.42,6.82,54.07,32.91,4.00
49.64,2.43,75.06,25.66,2.00
42.30,4.51,85.19,22.28,3.00
69.38,3.19,70.97,27.73,4.00
98.45,4.89,60.59,26.83,9.00
73.60,4.30,79.98,22.77,4.00
93.09,6.42,60.92,30.89,9.00
70.40,2.44,89.33,24.39,1.00
94.98,7.43,62.60,26.26,10.00
61.23,2.73,71.72,26.33,1.00
122.00,7.92,67.08,23.81,9.00
80.42,3.74,66.72,35.45,8.00
79.14,5.65,67.35,17.01,3.00
117.76,7.85,72.63,39.52,10.00
75.34,8.09,56.08,27.99,8.00
88.43,6.33,93.19,26.86,7.00
119.87,7.03,61.49,24.86,5.00
122.01,8.16,76.18,29.60,10.00
75.44,6.68,38.51,36.09,10.00
122.35,10.31,62.24,36.07,9.00
105.72,3.78,73.40,22.82,5.00
63.50,4.11,106.68,22.13,1.00
94.29,1.62,74.73,22.10,4.00
72.53,1.44,73.96,14.17,3.00
86.20,3.95,95.57,27.90,5.00
70.51,3.06,93.25,15.81,1.00
44.82,4.96,56.34,19.37,2.00
95.40,3.55,66.14,30.94,3.00
82.20,7.23,65.02,21.58,3.00
81.07,2.33,59.47,26.50,4.00
66.24,4.34,84.60,14.83,5.00
69.41,5.94,52.05,37.71,8.00
92.30,4.28,60.65,26.50,6.00
70.55,3.93,83.43,20.09,1.00
97.63,7.82,54.47,18.07,9.00
70.11,0.51,92.04,14.43,1.00
94.85,2.29,89.04,20.77,2.00
74.55,2.08,59.45,14.44,2.00
70.68,5.86,66.77,28.71,3.00
71.58,8.46,68.88,28.32,7.00
122.57,7.10,57.39,40.20,9.00
118.19,7.98,70.19,25.60,8.00
63.26,4.18,69.69,30.00,7.00
79.14,3.08,65.63,32.38,6.00
89.47,3.02,56.20,24.67,6.00
104.87,3.10,76.80,24.19,2.00
82.84,2.99,74.57,17.91,2.00
82.80,4.09,80.77,35.36,1.00
95.21,6.68,45.91,23.23,9.00
86.79,4.83,74.51,22.38,1.00
82.78,7.21,42.94,38.16,8.00
70.99,4.88,82.97,32.01,3.00
88.91,8.12,81.60,25.87,7.00
58.59,4.37,46.76,26.21,5.00
90.92,3.98,82.50,17.52,1.00
79.48,2.49,71.31,15.02,4.00
124.73,8.31,53.46,30.35,10.00
52.32,7.82,59.15,22.79,5.00
86.29,3.91,73.57,32.91,3.00
88.32,5.93,83.24,27.93,5.00
74.97,4.27,76.84,25.32,4.00
130.84,6.36,56.70,30.18,10.00
85.34,2.16,84.97,26.49,3.00
98.83,3.03,55.73,28.90,4.00
48.87,0.67,66.68,19.68,1.00
63.57,4.66,75.85,20.34,5.00
96.58,5.85,47.74,29.18,5.00
94.01,4.85,67.60,25.24,4.00
77.09,6.59,82.13,31.50,5.00
62.50,2.96,68.06,29.65,4.00
67.00,5.03,51.72,17.33,5.00
78.59,5.19,59.36,34.23,8.00
96.43,2.10,55.18,23.83,2.00
63.95,5.77,62.38,29.40,7.00
104.26,4.43,94.03,31.89,4.00
122.84,4.49,60.67,26.53,6.00
67.81,4.07,91.72,33.57,1.00
87.87,3.60,92.03,31.35,2.00
111.40,5.06,90.00,22.38,10.00
86.75,6.73,53.38,29.44,5.00
103.64,2.96,44.16,29.10,6.00
122.30,7.20,73.05,27.08,7.00
97.18,6.80,64.86,22.63,3.00
66.01,0.49,85.21,22.55,2.00
70.99,6.10,72.00,21.69,4.00
59.14,2.51,92.03,13.53,1.00
73.60,5.07,73.34,15.70,4.00
90.17,4.22,54.88,40.93,7.00
92.00,6.94,82.72,18.01,6.00
54.13,1.55,80.01,31.50,3.00
107.36,4.96,74.28,28.58,8.00
70.38,3.31,55.44,17.92,1.00
104.97,10.25,60.02,37.67,10.00
121.05,7.46,50.25,35.85,10.00
59.35,9.20,74.78,32.44,9.00
102.88,4.51,76.70,34.74,6.00
107.42,6.60,60.87,40.51,10.00
77.66,6.11,72.18,22.62,4.00
121.75,6.65,73.51,23.60,8.00
84.95,6.52,69.21,21.81,3.00
80.65,9.25,55.54,31.53,9.00
111.76,4.74,62.70,22.22,7.00
81.31,5.34,66.77,30.17,9.00
81.76,3.38,79.93,34.67,3.00
118.96,8.60,48.83,37.38,10.00
75.27,9.95,35.96,36.87,10.00
104.38,1.62,59.33,19.45,3.00
122.79,7.73,42.94,35.58,8.00
75.30,7.41,78.18,33.92,7.00
89.63,7.88,83.75,25.09,5.00
68.29,5.14,56.96,35.87,7.00
103.56,7.67,77.72,27.34,8.00
80.23,3.04,75.58,14.66,3.00
89.48,3.87,61.92,34.90,4.00
65.11,3.90,60.98,26.03,3.00
85.19,4.20,68.69,21.11,2.00
46.32,3.51,52.69,32.36,2.00
97.49,4.45,68.50,25.52,4.00
115.87,5.88,59.78,24.07,9.00
56.39,3.91,88.28,26.01,3.00
71.98,2.80,100.41,17.41,1.00
112.52,5.93,84.95,27.46,6.00
99.13,8.39,76.99,33.69,8.00
110.26,7.15,45.01,29.37,10.00
120.99,6.65,47.73,28.62,10.00
88.93,7.58,80.85,31.94,9.00
88.28,1.03,89.55,19.01,2.00
63.55,5.78,73.67,27.01,4.00
107.82,6.48,47.78,22.33,8.00
52.61,4.20,88.35,14.41,2.00
94.59,4.78,66.65,27.24,5.00
101.61,5.23,72.21,38.90,8.00
129.67,4.25,57.32,29.61,8.00
94.35,3.81,90.54,17.58,1.00
44.32,1.83,82.08,17.79,1.00
93.03,5.63,62.56,24.67,3.00
105.15,6.94,88.20,29.98,8.00
101.90,7.51,73.60,42.50,8.00
86.30,5.07,66.59,30.95,8.00
110.87,6.03,88.21,28.38,4.00
106.66,4.73,80.37,23.15,7.00
90.59,5.73,69.53,35.80,5.00
76.52,3.52,81.11,24.84,4.00
99.75,8.27,36.16,21.70,8.00
70.16,4.02,84.68,29.89,1.00
116.57,4.97,66.40,35.78,8.00
57.00,6.35,89.06,26.36,3.00
93.77,3.88,76.06,41.01,8.00
101.03,7.32,76.05,33.05,8.00
95.00,3.08,73.64,29.36,3.00
104.07,6.07,50.00,35.43,5.00
101.13,4.95,78.27,30.25,6.00
89.30,6.33,68.19,26.38,6.00
43.17,3.72,96.73,18.40,1.00
116.25,8.53,37.57,23.16,10.00
103.61,3.20,57.25,22.33,7.00
105.62,4.99,78.17,14.83,3.00
107.42,6.48,69.20,33.20,8.00
79.76,4.72,84.72,33.06,7.00
61.04,3.48,86.69,27.55,1.00
89.27,6.45,58.81,36.48,9.00
72.41,6.28,65.41,24.97,8.00
58.05,2.22,91.07,29.32,2.00
78.63,3.21,78.32,22.51,1.00
99.94,5.72,47.19,28.55,8.00
53.59,3.37,64.38,20.12,3.00
73.78,5.54,71.57,24.58,1.00
79.85,7.15,64.58,30.66,6.00
94.63,4.82,66.85,37.69,7.00
90.82,7.37,85.07,32.56,4.00
75.50,1.78,93.49,24.06,5.00
92.65,9.59,66.99,32.89,9.00
73.26,4.06,75.29,20.73,8.00
64.29,4.75,66.72,33.75,6.00
52.33,5.82,86.74,28.59,3.00
116.27,7.24,55.43,17.01,7.00
96.05,1.79,69.67,25.32,2.00
97.75,7.65,79.70,27.13,8.00
113.88,8.04,41.73,36.94,10.00
91.37,8.79,74.12,33.17,7.00
65.70,3.64,40.44,28.21,6.00
94.24,5.34,97.16,21.26,4.00
100.15,3.45,72.18,26.43,5.00
52.21,7.33,67.98,21.53,4.00
82.51,2.51,91.49,23.91,1.00
75.24,4.30,79.53,18.54,4.00
110.78,4.30,45.95,30.50,7.00
67.09,9.53,38.21,25.78,10.00
94.49,6.16,87.54,31.40,7.00
74.41,6.46,87.91,24.03,5.00
71.85,5.39,68.57,24.90,6.00
75.33,2.77,70.77,18.74,4.00
103.41,6.93,69.37,34.19,10.00
82.12,5.92,35.97,19.60,10.00
60.07,6.24,98.30,21.48,3.00
72.00,0.67,76.89,23.36,2.00
59.48,5.17,79.67,23.54,4.00
105.49,6.34,75.50,21.64,8.00
80.73,6.24,48.63,29.37,3.00
81.44,3.73,74.83,27.71,2.00
99.43,5.25,83.42,20.26,6.00
100.18,6.00,77.84,19.04,2.00
64.79,2.28,99.70,36.34,2.00
94.23,9.27,73.96,32.16,8.00
105.15,4.18,48.23,35.67,8.00
106.22,5.19,70.85,27.43,3.00
59.45,4.79,74.07,22.77,5.00
99.10,6.15,67.46,26.56,7.00
93.88,10.62,36.85,27.09,10.00
99.03,7.46,48.41,14.06,5.00
115.78,6.87,51.13,25.57,5.00
91.04,3.16,84.06,23.37,2.00
60.05,3.17,69.21,30.15,6.00
85.57,4.72,85.13,20.75,2.00
59.94,6.48,70.11,18.19,5.00
62.51,3.08,66.66,23.58,1.00
104.38,2.72,60.03,23.06,3.00
70.18,0.76,75.98,30.67,2.00
85.58,8.43,58.47,19.73,8.00
54.95,5.83,79.86,23.76,2.00
93.54,10.16,48.29,24.63,9.00
88.04,6.70,71.65,31.34,6.00
98.66,5.86,75.40,26.83,9.00
65.33,9.32,73.39,28.65,9.00
89.02,7.56,63.73,25.15,9.00
82.61,6.05,48.88,23.79,3.00
71.78,5.60,72.75,30.64,4.00
40.09,3.83,72.47,29.38,1.00
52.96,5.04,70.22,16.96,2.00
112.91,3.55,79.68,16.98,5.00
50.40,5.92,80.50,23.79,1.00
99.76,5.61,48.24,35.07,10.00
56.79,3.84,63.54,23.45,6.00
51.44,1.49,75.12,18.89,3.00
93.21,7.38,90.50,32.44,8.00
91.04,5.83,73.66,37.33,5.00
80.80,9.05,82.04,20.76,9.00
51.92,2.97,83.42,18.54,3.00
124.32,9.74,67.20,23.66,10.00
65.69,5.12,56.58,26.40,6.00
96.26,5.49,80.61,28.80,7.00
107.23,8.08,71.65,42.41,8.00
67.49,5.12,61.55,34.37,10.00
94.70,4.77,62.87,23.58,2.00
114.30,6.40,86.30,30.74,7.00
83.43,7.00,53.99,33.58,8.00
114.72,6.31,52.15,33.57,4.00
79.14,5.02,70.51,32.18,9.00
111.20,5.54,62.65,19.69,4.00
61.01,1.00,62.89,19.08,2.00
66.11,0.50,56.25,28.36,1.00
61.97,2.09,84.93,27.25,2.00
85.37,3.86,77.45,31.91,1.00
68.06,6.97,44.38,33.81,8.00
90.51,1.76,68.44,34.47,3.00
60.97,4.20,60.67,37.04,4.00
112.66,9.87,68.80,30.41,8.00
74.26,5.88,75.15,22.74,5.00
73.72,8.28,48.70,32.50,7.00
109.51,8.14,87.92,36.28,7.00
78.17,5.45,71.13,30.52,9.00
78.43,3.33,92.50,20.99,3.00
114.21,6.54,66.31,34.27,7.00
71.41,4.23,53.10,30.29,4.00
73.30,6.15,79.18,31.97,1.00
87.63,4.13,38.37,27.85,6.00
63.25,5.62,84.99,23.47,5.00
93.92,5.42,55.79,32.18,5.00
78.46,2.27,83.36,19.99,3.00
85.83,6.21,65.57,33.03,8.00
83.65,3.75,63.90,16.10,4.00
80.71,9.24,80.63,27.12,9.00
79.43,4.41,52.23,33.49,1.00
73.09,5.02,58.98,21.12,4.00
70.90,6.28,61.76,20.91,4.00
74.56,6.61,59.91,15.72,3.00
76.72,5.52,66.16,36.59,8.00
116.67,5.93,59.87,33.36,4.00
95.35,4.13,39.88,32.17,8.00
83.03,5.65,79.64,23.35,2.00
85.56,8.08,85.65,38.07,10.00
93.83,4.32,71.25,24.34,6.00
114.38,8.33,51.05,35.57,8.00
107.38,8.08,68.62,31.15,9.00
94.93,3.28,55.95,26.28,3.00
88.30,4.58,32.70,41.23,10.00
52.01,3.36,60.53,33.49,4.00
67.36,4.25,81.96,30.84,6.00
82.74,5.35,50.11,25.17,4.00
66.38,5.27,54.34,33.64,4.00
70.03,5.29,48.94,30.09,5.00
95.68,6.49,47.23,25.79,10.00
69.94,3.55,68.88,28.57,3.00
36.73,4.49,87.72,27.64,1.00
101.64,9.41,86.47,34.86,8.00
87.65,3.83,74.03,30.63,5.00
77.83,4.25,87.36,25.06,5.00
104.31,5.96,83.04,17.35,3.00
68.35,2.78,55.80,17.12,7.00
110.37,2.40,66.90,17.47,6.00
55.61,2.82,88.74,25.65,3.00
72.63,3.10,67.45,20.76,2.00
59.78,5.91,74.59,29.02,4.00
86.13,2.86,64.98,19.35,1.00
100.21,6.46,66.09,32.77,9.00
48.83,6.34,71.59,37.49,3.00
55.79,2.95,59.46,29.24,2.00
100.99,4.82,56.46,16.66,5.00
99.62,8.70,68.35,27.30,6.00
97.27,5.80,80.58,22.56,8.00
114.35,3.44,73.61,25.58,3.00
85.35,2.46,89.78,24.82,3.00
84.05,7.38,56.97,31.24,3.00
77.22,1.07,69.52,21.52,1.00
80.93,5.82,102.87,11.40,2.00
79.40,7.86,49.13,26.35,8.00
113.20,5.65,80.85,41.07,10.00
108.48,4.26,64.16,33.28,8.00
68.33,4.12,93.53,33.36,3.00
64.66,5.35,66.19,22.38,3.00
77.27,2.83,52.39,22.09,6.00
99.15,8.66,76.27,30.45,8.00
80.64,4.71,74.42,22.15,3.00
102.84,5.95,41.85,23.66,9.00
90.58,0.92,85.36,22.13,1.00
88.98,5.32,73.41,26.81,2.00
56.46,4.87,63.66,16.85,5.00
80.74,7.43,50.93,24.39,10.00
90.44,2.94,74.25,20.56,4.00
120.15,8.92,43.01,38.22,8.00
53.09,7.12,86.20,20.34,4.00
118.31,8.69,52.79,24.41,9.00
94.56,4.27,58.50,20.53,6.00
